date,time,height
26/10/2010,23:27,4.01
27/10/2010,04:58,1.6
27/10/2010,11:41,4.03
27/10/2010,17:28,1.46
28/10/2010,00:09,3.89
28/10/2010,05:38,1.81
28/10/2010,12:23,3.94
28/10/2010,18:16,1.6
29/10/2010,00:59,3.75
29/10/2010,06:27,2.04
29/10/2010,13:14,3.82
29/10/2010,19:18,1.73
30/10/2010,02:01,3.63
30/10/2010,07:33,2.26
30/10/2010,14:16,3.73
30/10/2010,20:43,1.76
31/10/2010,03:17,3.57
31/10/2010,09:05,2.34
31/10/2010,15:32,3.72
31/10/2010,22:09,1.63
01/11/2010,04:37,3.63
01/11/2010,10:32,2.22
01/11/2010,16:49,3.81
01/11/2010,23:19,1.4
02/11/2010,05:47,3.78
02/11/2010,11:39,1.98
02/11/2010,17:57,3.98
03/11/2010,00:15,1.15
03/11/2010,06:44,3.96
03/11/2010,12:33,1.71
03/11/2010,18:56,4.18
04/11/2010,01:04,0.95
04/11/2010,07:34,4.13
04/11/2010,13:20,1.43
04/11/2010,19:49,4.34
05/11/2010,01:48,0.84
05/11/2010,08:20,4.27
05/11/2010,14:05,1.2
05/11/2010,20:38,4.45
06/11/2010,02:30,0.84
06/11/2010,09:04,4.36
06/11/2010,14:47,1.05
06/11/2010,21:26,4.47
07/11/2010,03:11,0.95
07/11/2010,09:46,4.39
07/11/2010,15:31,0.99
07/11/2010,22:11,4.4
08/11/2010,03:51,1.15
08/11/2010,10:27,4.37
08/11/2010,16:13,1.05
08/11/2010,22:56,4.26
09/11/2010,04:30,1.42
09/11/2010,11:07,4.28
09/11/2010,16:56,1.2
09/11/2010,23:41,4.07
10/11/2010,05:08,1.72
10/11/2010,11:47,4.16
10/11/2010,17:39,1.42
11/11/2010,00:27,3.85
11/11/2010,05:47,2
11/11/2010,12:29,4.01
11/11/2010,18:26,1.66
12/11/2010,01:17,3.64
12/11/2010,06:29,2.26
12/11/2010,13:16,3.85
12/11/2010,19:24,1.88
13/11/2010,02:14,3.48
13/11/2010,07:23,2.46
13/11/2010,14:11,3.71
13/11/2010,20:43,2.03
14/11/2010,03:22,3.4
14/11/2010,08:43,2.56
14/11/2010,15:17,3.61
14/11/2010,22:03,2.04
15/11/2010,04:33,3.41
15/11/2010,10:11,2.52
15/11/2010,16:29,3.59
15/11/2010,23:08,1.97
16/11/2010,05:36,3.49
16/11/2010,11:19,2.37
16/11/2010,17:35,3.65
16/11/2010,23:57,1.85
17/11/2010,06:28,3.62
17/11/2010,12:11,2.17
17/11/2010,18:29,3.74
18/11/2010,00:38,1.72
18/11/2010,07:11,3.76
18/11/2010,12:53,1.97
18/11/2010,19:15,3.85
19/11/2010,01:14,1.61
19/11/2010,07:50,3.9
19/11/2010,13:30,1.77
19/11/2010,19:57,3.95
20/11/2010,01:47,1.52
20/11/2010,08:26,4.02
20/11/2010,14:06,1.59
20/11/2010,20:37,4.04
21/11/2010,02:20,1.45
21/11/2010,09:01,4.13
21/11/2010,14:42,1.43
21/11/2010,21:16,4.11
22/11/2010,02:54,1.42
22/11/2010,09:36,4.2
22/11/2010,15:19,1.31
22/11/2010,21:55,4.14
23/11/2010,03:30,1.44
23/11/2010,10:12,4.23
23/11/2010,15:58,1.24
23/11/2010,22:35,4.12
24/11/2010,04:08,1.5
24/11/2010,10:50,4.23
24/11/2010,16:38,1.22
24/11/2010,23:17,4.07
25/11/2010,04:48,1.6
25/11/2010,11:29,4.19
25/11/2010,17:23,1.24
26/11/2010,00:02,3.98
26/11/2010,05:32,1.75
26/11/2010,12:13,4.12
26/11/2010,18:13,1.32
27/11/2010,00:53,3.87
27/11/2010,06:20,1.92
27/11/2010,13:02,4.03
27/11/2010,19:11,1.41
28/11/2010,01:49,3.76
28/11/2010,07:18,2.09
28/11/2010,13:59,3.94
28/11/2010,20:20,1.49
29/11/2010,02:54,3.69
29/11/2010,08:30,2.2
29/11/2010,15:05,3.89
29/11/2010,21:35,1.5
30/11/2010,04:05,3.68
30/11/2010,09:49,2.19
30/11/2010,16:17,3.89
30/11/2010,22:44,1.46
01/12/2010,05:13,3.75
01/12/2010,11:03,2.07
01/12/2010,17:28,3.96
01/12/2010,23:46,1.39
02/12/2010,06:14,3.87
02/12/2010,12:08,1.86
02/12/2010,18:33,4.06
03/12/2010,00:40,1.32
03/12/2010,07:09,4.02
03/12/2010,13:02,1.63
03/12/2010,19:31,4.16
04/12/2010,01:28,1.29
04/12/2010,07:59,4.15
04/12/2010,13:51,1.41
04/12/2010,20:24,4.23
05/12/2010,02:12,1.31
05/12/2010,08:44,4.26
05/12/2010,14:37,1.24
05/12/2010,21:14,4.25
06/12/2010,02:53,1.36
06/12/2010,09:28,4.32
06/12/2010,15:20,1.14
06/12/2010,21:59,4.21
07/12/2010,03:33,1.46
07/12/2010,10:09,4.34
07/12/2010,16:02,1.13
07/12/2010,22:44,4.13
08/12/2010,04:11,1.58
08/12/2010,10:49,4.31
08/12/2010,16:43,1.2
08/12/2010,23:25,4.01
09/12/2010,04:48,1.73
09/12/2010,11:28,4.23
09/12/2010,17:23,1.33
10/12/2010,00:06,3.86
10/12/2010,05:24,1.88
10/12/2010,12:07,4.12
10/12/2010,18:03,1.5
11/12/2010,00:47,3.72
11/12/2010,06:02,2.03
11/12/2010,12:47,3.99
11/12/2010,18:45,1.68
12/12/2010,01:32,3.59
12/12/2010,06:43,2.19
12/12/2010,13:30,3.85
12/12/2010,19:34,1.86
13/12/2010,02:21,3.48
13/12/2010,07:33,2.34
13/12/2010,14:20,3.72
13/12/2010,20:34,2
14/12/2010,03:19,3.42
14/12/2010,08:40,2.45
14/12/2010,15:19,3.62
14/12/2010,21:44,2.07
15/12/2010,04:23,3.43
15/12/2010,10:00,2.46
15/12/2010,16:25,3.57
15/12/2010,22:51,2.06
16/12/2010,05:27,3.5
16/12/2010,11:16,2.36
16/12/2010,17:32,3.6
16/12/2010,23:49,1.99
17/12/2010,06:23,3.63
17/12/2010,12:16,2.18
17/12/2010,18:32,3.69
18/12/2010,00:36,1.89
18/12/2010,07:11,3.77
18/12/2010,13:03,1.96
18/12/2010,19:24,3.8
19/12/2010,01:17,1.77
19/12/2010,07:53,3.93
19/12/2010,13:45,1.72
19/12/2010,20:11,3.93
20/12/2010,01:56,1.65
20/12/2010,08:35,4.07
20/12/2010,14:25,1.47
20/12/2010,20:56,4.04
21/12/2010,02:35,1.53
21/12/2010,09:15,4.2
21/12/2010,15:06,1.24
21/12/2010,21:40,4.13
22/12/2010,03:16,1.45
22/12/2010,09:56,4.29
22/12/2010,15:47,1.05
22/12/2010,22:24,4.18
23/12/2010,03:57,1.4
23/12/2010,10:37,4.35
23/12/2010,16:31,0.93
23/12/2010,23:08,4.17
24/12/2010,04:39,1.42
24/12/2010,11:19,4.37
24/12/2010,17:16,0.88
24/12/2010,23:53,4.12
25/12/2010,05:23,1.49
25/12/2010,12:02,4.33
25/12/2010,18:03,0.93
26/12/2010,00:40,4.02
26/12/2010,06:08,1.62
26/12/2010,12:49,4.25
26/12/2010,18:55,1.07
27/12/2010,01:29,3.89
27/12/2010,06:56,1.79
27/12/2010,13:39,4.14
27/12/2010,19:52,1.26
28/12/2010,02:25,3.76
28/12/2010,07:53,1.96
28/12/2010,14:38,4
28/12/2010,20:56,1.46
29/12/2010,03:28,3.68
29/12/2010,09:04,2.09
29/12/2010,15:47,3.89
29/12/2010,22:07,1.63
30/12/2010,04:37,3.66
30/12/2010,10:28,2.11
30/12/2010,17:02,3.83
30/12/2010,23:19,1.71
31/12/2010,05:45,3.73
31/12/2010,11:50,1.99
31/12/2010,18:16,3.85
01/01/2011,00:23,1.72
01/01/2011,06:48,3.85
01/01/2011,12:54,1.76
01/01/2011,19:21,3.92
02/01/2011,01:14,1.69
02/01/2011,07:43,4
02/01/2011,13:46,1.53
02/01/2011,20:17,3.99
03/01/2011,01:59,1.64
03/01/2011,08:31,4.13
03/01/2011,14:32,1.33
03/01/2011,21:05,4.04
04/01/2011,02:40,1.59
04/01/2011,09:15,4.23
04/01/2011,15:12,1.19
04/01/2011,21:49,4.06
05/01/2011,03:18,1.55
05/01/2011,09:55,4.29
05/01/2011,15:51,1.11
05/01/2011,22:29,4.03
06/01/2011,03:53,1.53
06/01/2011,10:32,4.31
06/01/2011,16:27,1.11
06/01/2011,23:06,3.98
07/01/2011,04:28,1.55
07/01/2011,11:08,4.27
07/01/2011,17:02,1.17
07/01/2011,23:42,3.9
08/01/2011,05:02,1.6
08/01/2011,11:44,4.2
08/01/2011,17:35,1.28
09/01/2011,00:17,3.8
09/01/2011,05:35,1.7
09/01/2011,12:18,4.09
09/01/2011,18:09,1.44
10/01/2011,00:52,3.69
10/01/2011,06:08,1.84
10/01/2011,12:54,3.95
10/01/2011,18:44,1.62
11/01/2011,01:30,3.58
11/01/2011,06:47,2.01
11/01/2011,13:34,3.81
11/01/2011,19:26,1.82
12/01/2011,02:14,3.49
12/01/2011,07:32,2.2
12/01/2011,14:21,3.66
12/01/2011,20:17,2.02
13/01/2011,03:08,3.42
13/01/2011,08:37,2.36
13/01/2011,15:20,3.54
13/01/2011,21:26,2.16
14/01/2011,04:13,3.41
14/01/2011,10:04,2.41
14/01/2011,16:30,3.48
14/01/2011,22:46,2.19
15/01/2011,05:23,3.47
15/01/2011,11:32,2.29
15/01/2011,17:45,3.52
15/01/2011,23:58,2.1
16/01/2011,06:29,3.61
16/01/2011,12:37,2.03
16/01/2011,18:53,3.64
17/01/2011,00:53,1.93
17/01/2011,07:23,3.79
17/01/2011,13:26,1.72
17/01/2011,19:49,3.81
18/01/2011,01:38,1.72
18/01/2011,08:11,3.99
18/01/2011,14:10,1.37
18/01/2011,20:39,3.99
19/01/2011,02:21,1.51
19/01/2011,08:56,4.18
19/01/2011,14:53,1.03
19/01/2011,21:26,4.14
20/01/2011,03:03,1.31
20/01/2011,09:39,4.35
20/01/2011,15:35,0.74
20/01/2011,22:10,4.24
21/01/2011,03:44,1.16
21/01/2011,10:23,4.48
21/01/2011,16:18,0.55
21/01/2011,22:54,4.28
22/01/2011,04:26,1.09
22/01/2011,11:05,4.54
22/01/2011,17:02,0.49
22/01/2011,23:37,4.24
23/01/2011,05:07,1.12
23/01/2011,11:47,4.51
23/01/2011,17:46,0.59
24/01/2011,00:20,4.13
24/01/2011,05:49,1.24
24/01/2011,12:32,4.41
24/01/2011,18:32,0.82
25/01/2011,01:05,3.97
25/01/2011,06:32,1.44
25/01/2011,13:19,4.23
25/01/2011,19:20,1.16
26/01/2011,01:54,3.8
26/01/2011,07:21,1.69
26/01/2011,14:13,4
26/01/2011,20:17,1.53
27/01/2011,02:50,3.65
27/01/2011,08:26,1.95
27/01/2011,15:20,3.78
27/01/2011,21:30,1.85
28/01/2011,04:00,3.55
28/01/2011,10:01,2.09
28/01/2011,16:43,3.64
28/01/2011,22:56,2.02
29/01/2011,05:18,3.57
29/01/2011,11:43,2
29/01/2011,18:07,3.63
30/01/2011,00:11,2.02
30/01/2011,06:31,3.69
30/01/2011,12:53,1.76
30/01/2011,19:16,3.71
31/01/2011,01:07,1.91
31/01/2011,07:30,3.85
31/01/2011,13:44,1.51
31/01/2011,20:11,3.81
01/02/2011,01:50,1.77
01/02/2011,08:20,4.01
01/02/2011,14:25,1.3
01/02/2011,20:56,3.89
02/02/2011,02:27,1.62
02/02/2011,09:02,4.13
02/02/2011,15:01,1.14
02/02/2011,21:35,3.95
03/02/2011,03:01,1.48
03/02/2011,09:39,4.22
03/02/2011,15:34,1.03
03/02/2011,22:10,3.97
04/02/2011,03:34,1.36
04/02/2011,10:14,4.26
04/02/2011,16:05,0.98
04/02/2011,22:44,3.97
05/02/2011,04:06,1.3
05/02/2011,10:47,4.25
05/02/2011,16:36,1
05/02/2011,23:15,3.93
06/02/2011,04:37,1.31
06/02/2011,11:19,4.2
06/02/2011,17:05,1.09
06/02/2011,23:46,3.87
07/02/2011,05:08,1.39
07/02/2011,11:50,4.11
07/02/2011,17:35,1.23
08/02/2011,00:17,3.78
08/02/2011,05:38,1.51
08/02/2011,12:22,3.98
08/02/2011,18:05,1.42
09/02/2011,00:49,3.68
09/02/2011,06:11,1.69
09/02/2011,12:56,3.83
09/02/2011,18:38,1.64
10/02/2011,01:25,3.57
10/02/2011,06:48,1.9
10/02/2011,13:38,3.66
10/02/2011,19:17,1.88
11/02/2011,02:10,3.46
11/02/2011,07:38,2.12
11/02/2011,14:31,3.5
11/02/2011,20:14,2.12
12/02/2011,03:10,3.38
12/02/2011,08:58,2.28
12/02/2011,15:41,3.39
12/02/2011,21:42,2.26
13/02/2011,04:25,3.37
13/02/2011,10:47,2.23
13/02/2011,17:05,3.39
13/02/2011,23:21,2.2
14/02/2011,05:45,3.47
14/02/2011,12:11,1.95
14/02/2011,18:26,3.52
15/02/2011,00:31,1.98
15/02/2011,06:53,3.66
15/02/2011,13:06,1.56
15/02/2011,19:29,3.73
16/02/2011,01:21,1.69
16/02/2011,07:47,3.91
16/02/2011,13:52,1.14
16/02/2011,20:20,3.95
17/02/2011,02:05,1.38
17/02/2011,08:35,4.16
17/02/2011,14:35,0.74
17/02/2011,21:07,4.15
18/02/2011,02:46,1.1
18/02/2011,09:20,4.39
18/02/2011,15:17,0.42
18/02/2011,21:51,4.28
19/02/2011,03:27,0.89
19/02/2011,10:03,4.55
19/02/2011,15:59,0.24
19/02/2011,22:34,4.34
20/02/2011,04:08,0.77
20/02/2011,10:47,4.62
20/02/2011,16:41,0.23
20/02/2011,23:16,4.3
21/02/2011,04:47,0.79
21/02/2011,11:29,4.58
21/02/2011,17:23,0.42
21/02/2011,23:57,4.19
22/02/2011,05:28,0.92
22/02/2011,12:13,4.43
22/02/2011,18:05,0.76
23/02/2011,00:39,4.01
23/02/2011,06:10,1.16
23/02/2011,12:59,4.18
23/02/2011,18:50,1.2
24/02/2011,01:24,3.82
24/02/2011,06:57,1.46
24/02/2011,13:53,3.89
24/02/2011,19:41,1.66
25/02/2011,02:17,3.62
25/02/2011,08:00,1.79
25/02/2011,15:01,3.61
25/02/2011,20:56,2.05
26/02/2011,03:26,3.48
26/02/2011,09:48,1.99
26/02/2011,16:29,3.44
26/02/2011,22:38,2.23
27/02/2011,04:52,3.46
27/02/2011,11:36,1.88
27/02/2011,17:58,3.45
27/02/2011,23:59,2.15
28/02/2011,06:12,3.56
28/02/2011,12:44,1.64
28/02/2011,19:06,3.56
01/03/2011,00:54,1.97
01/03/2011,07:14,3.73
01/03/2011,13:32,1.41
01/03/2011,19:57,3.68
02/03/2011,01:35,1.76
02/03/2011,08:02,3.88
02/03/2011,14:08,1.22
02/03/2011,20:38,3.79
03/03/2011,02:08,1.55
03/03/2011,08:41,4.01
03/03/2011,14:39,1.07
03/03/2011,21:13,3.87
04/03/2011,02:40,1.36
04/03/2011,09:17,4.1
04/03/2011,15:08,0.96
04/03/2011,21:46,3.92
05/03/2011,03:11,1.21
05/03/2011,09:50,4.15
05/03/2011,15:38,0.9
05/03/2011,22:17,3.95
06/03/2011,03:42,1.12
06/03/2011,10:23,4.16
06/03/2011,16:07,0.91
06/03/2011,22:47,3.95
07/03/2011,04:13,1.11
07/03/2011,10:53,4.12
07/03/2011,16:35,0.99
07/03/2011,23:16,3.9
08/03/2011,04:42,1.17
08/03/2011,11:23,4.04
08/03/2011,17:02,1.13
08/03/2011,23:44,3.84
09/03/2011,05:12,1.28
09/03/2011,11:54,3.93
09/03/2011,17:31,1.31
10/03/2011,00:14,3.75
10/03/2011,05:44,1.44
10/03/2011,12:27,3.79
10/03/2011,18:01,1.53
11/03/2011,00:47,3.64
11/03/2011,06:20,1.63
11/03/2011,13:07,3.63
11/03/2011,18:38,1.77
12/03/2011,01:29,3.52
12/03/2011,07:06,1.85
12/03/2011,13:59,3.46
12/03/2011,19:29,2.03
13/03/2011,02:26,3.4
13/03/2011,08:19,2.03
13/03/2011,15:09,3.33
13/03/2011,20:55,2.23
14/03/2011,03:40,3.34
14/03/2011,10:10,2.01
14/03/2011,16:35,3.32
14/03/2011,22:46,2.19
15/03/2011,05:05,3.4
15/03/2011,11:40,1.72
15/03/2011,17:59,3.46
16/03/2011,00:05,1.94
16/03/2011,06:20,3.6
16/03/2011,12:40,1.32
16/03/2011,19:05,3.69
17/03/2011,00:58,1.61
17/03/2011,07:19,3.86
17/03/2011,13:28,0.9
17/03/2011,19:57,3.93
18/03/2011,01:42,1.27
18/03/2011,08:10,4.13
18/03/2011,14:11,0.52
18/03/2011,20:44,4.13
19/03/2011,02:24,0.95
19/03/2011,08:56,4.37
19/03/2011,14:54,0.25
19/03/2011,21:28,4.28
20/03/2011,03:05,0.71
20/03/2011,09:42,4.53
20/03/2011,15:36,0.14
20/03/2011,22:11,4.34
21/03/2011,03:47,0.58
21/03/2011,10:26,4.58
21/03/2011,16:18,0.22
21/03/2011,22:52,4.31
22/03/2011,04:28,0.59
22/03/2011,11:11,4.51
22/03/2011,16:59,0.48
22/03/2011,23:33,4.2
23/03/2011,05:10,0.73
23/03/2011,11:56,4.32
23/03/2011,17:40,0.88
24/03/2011,00:14,4.03
24/03/2011,05:53,0.98
24/03/2011,12:43,4.04
24/03/2011,18:23,1.34
25/03/2011,00:59,3.84
25/03/2011,06:41,1.3
25/03/2011,13:37,3.73
25/03/2011,19:12,1.8
26/03/2011,01:50,3.64
26/03/2011,07:47,1.63
26/03/2011,14:45,3.46
26/03/2011,20:23,2.16
27/03/2011,02:56,3.47
27/03/2011,09:35,1.81
27/03/2011,16:12,3.32
27/03/2011,22:08,2.3
28/03/2011,04:20,3.41
28/03/2011,11:14,1.74
28/03/2011,17:38,3.34
28/03/2011,23:33,2.19
29/03/2011,05:42,3.47
29/03/2011,12:19,1.55
29/03/2011,18:42,3.45
30/03/2011,00:29,1.98
30/03/2011,06:45,3.61
30/03/2011,13:04,1.37
30/03/2011,19:30,3.57
31/03/2011,01:09,1.75
31/03/2011,07:33,3.74
31/03/2011,13:39,1.22
31/03/2011,20:10,3.69
01/04/2011,01:43,1.53
01/04/2011,08:14,3.85
01/04/2011,14:09,1.1
01/04/2011,20:44,3.79
02/04/2011,02:15,1.33
02/04/2011,08:50,3.94
02/04/2011,14:38,1
02/04/2011,21:17,3.87
03/04/2011,02:47,1.17
03/04/2011,09:24,4
03/04/2011,15:08,0.94
03/04/2011,21:48,3.93
04/04/2011,03:18,1.07
04/04/2011,09:56,4.03
04/04/2011,15:36,0.95
04/04/2011,22:18,3.95
05/04/2011,03:49,1.04
05/04/2011,10:29,4
05/04/2011,16:05,1.02
05/04/2011,22:47,3.93
06/04/2011,04:20,1.07
06/04/2011,10:59,3.94
06/04/2011,16:34,1.15
06/04/2011,23:17,3.88
07/04/2011,04:52,1.15
07/04/2011,11:32,3.84
07/04/2011,17:04,1.31
07/04/2011,23:47,3.81
08/04/2011,05:26,1.27
08/04/2011,12:08,3.73
08/04/2011,17:36,1.5
09/04/2011,00:21,3.71
09/04/2011,06:05,1.42
09/04/2011,12:50,3.59
09/04/2011,18:15,1.72
10/04/2011,01:04,3.6
10/04/2011,06:53,1.59
10/04/2011,13:42,3.45
10/04/2011,19:08,1.95
11/04/2011,01:59,3.48
11/04/2011,08:05,1.72
11/04/2011,14:50,3.35
11/04/2011,20:29,2.13
12/04/2011,03:09,3.4
12/04/2011,09:41,1.68
12/04/2011,16:11,3.35
12/04/2011,22:11,2.1
13/04/2011,04:30,3.44
13/04/2011,11:05,1.44
13/04/2011,17:31,3.47
13/04/2011,23:30,1.87
14/04/2011,05:45,3.61
14/04/2011,12:08,1.11
14/04/2011,18:36,3.67
15/04/2011,00:28,1.56
15/04/2011,06:48,3.84
15/04/2011,12:59,0.78
15/04/2011,19:29,3.89
16/04/2011,01:16,1.24
16/04/2011,07:43,4.09
16/04/2011,13:45,0.5
16/04/2011,20:18,4.08
17/04/2011,02:01,0.93
17/04/2011,08:32,4.29
17/04/2011,14:29,0.34
17/04/2011,21:03,4.22
18/04/2011,02:44,0.7
18/04/2011,09:20,4.41
18/04/2011,15:12,0.32
18/04/2011,21:47,4.28
19/04/2011,03:28,0.56
19/04/2011,10:08,4.43
19/04/2011,15:55,0.46
19/04/2011,22:29,4.27
20/04/2011,04:11,0.56
20/04/2011,10:54,4.33
20/04/2011,16:36,0.74
20/04/2011,23:11,4.19
21/04/2011,04:56,0.67
21/04/2011,11:41,4.14
21/04/2011,17:18,1.1
21/04/2011,23:53,4.05
22/04/2011,05:41,0.9
22/04/2011,12:29,3.89
22/04/2011,18:00,1.49
23/04/2011,00:37,3.88
23/04/2011,06:32,1.18
23/04/2011,13:23,3.63
23/04/2011,18:47,1.85
24/04/2011,01:26,3.7
24/04/2011,07:35,1.46
24/04/2011,14:26,3.41
24/04/2011,19:49,2.13
25/04/2011,02:26,3.53
25/04/2011,09:05,1.64
25/04/2011,15:41,3.28
25/04/2011,21:20,2.26
26/04/2011,03:39,3.43
26/04/2011,10:29,1.66
26/04/2011,16:57,3.27
26/04/2011,22:44,2.2
27/04/2011,04:56,3.43
27/04/2011,11:35,1.57
27/04/2011,18:01,3.35
27/04/2011,23:47,2.02
28/04/2011,06:02,3.49
28/04/2011,12:23,1.45
28/04/2011,18:52,3.47
29/04/2011,00:33,1.81
29/04/2011,06:55,3.59
29/04/2011,13:01,1.34
29/04/2011,19:34,3.59
30/04/2011,01:11,1.61
30/04/2011,07:39,3.69
30/04/2011,13:35,1.24
